Calendar Date,Date,Unemployment_Rate_MI,Unemployment_Rate_US,Rank,Highlights
12/2005,Dec-05,0.067,0.049,46,
01/2006,Jan-06,0.068,0.047,48,
02/2006,Feb-06,0.069,0.048,50,
03/2006,Mar-06,0.069,0.047,50,
04/2006,Apr-06,0.07,0.047,50,
05/2006,May-06,0.07,0.046,48,
06/2006,Jun-06,0.071,0.046,49,
07/2006,Jul-06,0.071,0.047,50,
08/2006,Aug-06,0.071,0.047,50,
09/2006,Sep-06,0.072,0.045,50,
10/2006,Oct-06,0.072,0.044,50,
11/2006,Nov-06,0.071,0.045,50,
12/2006,Dec-06,0.07,0.044,50,
01/2007,Jan-07,0.07,0.046,50,
02/2007,Feb-07,0.069,0.045,50,
03/2007,Mar-07,0.069,0.044,50,
04/2007,Apr-07,0.069,0.045,50,
05/2007,May-07,0.069,0.044,50,
06/2007,Jun-07,0.07,0.046,50,
07/2007,Jul-07,0.071,0.047,50,
08/2007,Aug-07,0.072,0.046,50,
09/2007,Sep-07,0.073,0.047,50,
10/2007,Oct-07,0.073,0.047,50,
11/2007,Nov-07,0.073,0.047,50,
12/2007,Dec-07,0.072,0.05,50,
01/2008,Jan-08,0.072,0.05,50,
02/2008,Feb-08,0.072,0.049,50,
03/2008,Mar-08,0.073,0.051,50,
04/2008,Apr-08,0.074,0.05,50,
05/2008,May-08,0.076,0.054,50,
06/2008,Jun-08,0.079,0.056,50,
07/2008,Jul-08,0.081,0.058,50,
08/2008,Aug-08,0.084,0.061,50,
09/2008,Sep-08,0.087,0.061,50,
10/2008,Oct-08,0.091,0.065,50,
11/2008,Nov-08,0.096,0.068,50,
12/2008,Dec-08,0.101,0.073,50,
01/2009,Jan-09,0.109,0.078,50,
02/2009,Feb-09,0.118,0.083,50,
03/2009,Mar-09,0.125,0.087,50,
04/2009,Apr-09,0.131,0.09,50,
05/2009,May-09,0.136,0.094,50,
06/2009,Jun-09,0.14,0.095,50,
07/2009,Jul-09,0.14,0.095,50,
08/2009,Aug-09,0.138,0.096,50,
09/2009,Sep-09,0.137,0.098,50,
10/2009,Oct-09,0.135,0.1,50,
11/2009,Nov-09,0.134,0.099,50,
12/2009,Dec-09,0.133,0.099,50,
01/2010,Jan-10,0.132,0.098,50,
02/2010,Feb-10,0.131,0.098,48,
03/2010,Mar-10,0.129,0.099,48,
04/2010,Apr-10,0.127,0.099,47,
05/2010,May-10,0.125,0.096,50,
06/2010,Jun-10,0.124,0.094,49,
07/2010,Jul-10,0.123,0.094,49,
08/2010,Aug-10,0.12,0.095,49,
09/2010,Sep-10,0.117,0.095,49,
10/2010,Oct-10,0.115,0.094,49,
11/2010,Nov-10,0.112,0.098,48,
12/2010,Dec-10,0.108,0.093,48,
01/2011,Jan-11,0.105,0.091,47,
02/2011,Feb-11,0.104,0.09,42,
03/2011,Mar-11,0.099,0.09,42,
04/2011,Apr-11,0.1,0.091,43,
05/2011,May-11,0.101,0.09,47,
06/2011,Jun-11,0.102,0.091,46,
07/2011,Jul-11,0.102,0.09,46,
08/2011,Aug-11,0.101,0.09,46,
09/2011,Sep-11,0.099,0.09,46,
10/2011,Oct-11,0.098,0.088,46,
11/2011,Nov-11,0.096,0.086,45,
12/2011,Dec-11,0.094,0.085,45,
01/2012,Jan-12,0.092,0.083,42,
02/2012,Feb-12,0.091,0.083,45,
03/2012,Mar-12,0.091,0.082,44,
04/2012,Apr-12,0.091,0.082,45,
05/2012,May-12,0.091,0.082,42,
06/2012,Jun-12,0.091,0.082,43,
07/2012,Jul-12,0.09,0.082,43,
08/2012,Aug-12,0.09,0.081,43,
09/2012,Sep-12,0.09,0.078,43,
10/2012,Oct-12,0.09,0.078,44,
11/2012,Nov-12,0.09,0.077,44,
12/2012,Dec-12,0.09,0.079,44,
01/2013,Jan-13,0.09,0.08,45,
02/2013,Feb-13,0.09,0.077,46,
03/2013,Mar-13,0.089,0.075,46,
04/2013,Apr-13,0.089,0.076,46,
05/2013,May-13,0.088,0.075,45,
06/2013,Jun-13,0.088,0.075,45,
07/2013,Jul-13,0.088,0.073,45,
08/2013,Aug-13,0.088,0.072,45,
09/2013,Sep-13,0.086,0.072,46,
10/2013,Oct-13,0.085,0.072,46,
11/2013,Nov-13,0.084,0.069,46,
12/2013,Dec-13,0.082,0.067,46,
01/2014,Jan-14,0.081,0.066,45,
02/2014,Feb-14,0.08,0.067,38,
03/2014,Mar-14,0.079,0.067,38,
04/2014,Apr-14,0.077,0.062,36,
05/2014,May-14,0.075,0.063,45,
06/2014,Jun-14,0.074,0.061,45,
07/2014,Jul-14,0.072,0.062,46,
08/2014,Aug-14,0.07,0.061,46,
09/2014,Sep-14,0.068,0.059,45,
10/2014,Oct-14,0.066,0.057,45,
11/2014,Nov-14,0.064,0.058,44,
12/2014,Dec-14,0.062,0.056,43,
01/2015,Jan-15,0.06,0.057,34,
02/2015,Feb-15,0.059,0.055,28,
03/2015,Mar-15,0.058,0.054,28,
04/2015,Apr-15,0.057,0.054,29,
05/2015,May-15,0.056,0.056,34,
06/2015,Jun-15,0.055,0.053,32,
07/2015,Jul-15,0.054,0.052,31,
08/2015,Aug-15,0.052,0.051,31,
09/2015,Sep-15,0.051,0.05,31,
10/2015,Oct-15,0.05,0.05,27,
11/2015,Nov-15,0.05,0.051,28,
12/2015,Dec-15,0.049,0.05,28,
01/2016,Jan-16,0.049,0.048,27,
02/2016,Feb-16,0.049,0.049,32,
03/2016,Mar-16,0.05,0.05,36,
04/2016,Apr-16,0.05,0.051,36,
05/2016,May-16,0.05,0.048,28,
06/2016,Jun-16,0.05,0.049,27,
07/2016,Jul-16,0.05,0.048,26,
08/2016,Aug-16,0.05,0.049,25,
09/2016,Sep-16,0.051,0.05,25,
10/2016,Oct-16,0.051,0.049,26,
11/2016,Nov-16,0.051,0.047,26,
12/2016,Dec-16,0.05,0.047,31,
01/2017,Jan-17,0.048,0.047,38,
02/2017,Feb-17,0.047,0.046,43,
03/2017,Mar-17,0.045,0.044,43,
04/2017,Apr-17,0.043,0.044,32,
05/2017,May-17,0.043,0.044,26,
06/2017,Jun-17,0.044,0.043,20,
07/2017,Jul-17,0.045,0.043,15,
08/2017,Aug-17,0.046,0.044,18,
09/2017,Sep-17,0.047,0.043,31,
10/2017,Oct-17,0.048,0.042,33,
11/2017,Nov-17,0.047,0.042,35,
12/2017,Dec-17,0.046,0.041,42,
01/2018,Jan-18,0.045,0.04,39,
02/2018,Feb-18,0.044,0.041,44,
03/2018,Mar-18,0.043,0.04,43,
04/2018,Apr-18,0.041,0.04,43,
05/2018,May-18,0.041,0.038,42,
06/2018,Jun-18,0.04,0.04,39,
07/2018,Jul-18,0.04,0.038,37,Michigan’s seasonally adjusted unemployment rate inched down to 4.3 percent in July. The jobless rate is 0.2 percentage points below the rate marked in July 2017.
08/2018,Aug-18,0.041,0.038,32,Michigan’s seasonally adjusted unemployment rate inched down to 4.1 percent in August. The jobless rate is 0.5 percentage points below the rate marked in August 2017.
09/2018,Sep-18,0.041,0.037,30,Michigan’s seasonally adjusted unemployment rate inched down to 4.0 percent in September. The jobless rate is 0.7 percentage points below the rate marked in September 2017.
10/2018,Oct-18,0.042,0.038,30,Michigan’s seasonally adjusted unemployment rate inched down to 3.9 percent in October. The jobless rate is 0.8 percentage points below the rate marked in October 2017.
11/2018,Nov-18,0.042,0.038,30,Michigan’s seasonally adjusted unemployment rate remained at 3.9 percent in November. The jobless rate is 0.8 percentage points below the rate marked in November 2017.
12/2018,Dec-18,0.042,0.039,33,Michigan’s seasonally adjusted unemployment rate increased to 4 percent in December. The jobless rate is 0.7 percentage points below the rate marked in December 2017.
01/2019,Jan-19,0.042,0.04,33,Michigan’s seasonally adjusted unemployment rate held steady at 4 percent in January. The jobless rate is 0.5 percentage points below the rate marked in January 2018.
02/2019,Feb-19,0.042,0.038,35,Michigan’s seasonally adjusted unemployment rate held steady at 4 percent in February. The jobless rate is 0.4 percentage points below the rate marked in February 2018.
03/2019,Mar-19,0.041,0.038,34,Michigan’s seasonally adjusted unemployment rate held steady at 4 percent in March. The jobless rate is 0.4 percentage points below the rate marked in March 2018.
04/2019,Apr-19,0.041,0.036,39,Michigan’s seasonally adjusted unemployment rate increased slightly to 4.1 percent in April. The jobless rate is 0.2 percentage points below the rate marked in April 2018.
05/2019,May-19,0.041,0.037,40,Michigan’s seasonally adjusted unemployment rate increased slightly to 4.2 percent in May. The jobless rate is unchanged from the rate marked in May 2018.
06/2019,Jun-19,0.042,0.036,41,Michigan’s seasonally adjusted unemployment rate held steady at 4.2 percent in June. The jobless rate is 0.2 percentage points higher than the rate marked in June 2018.
07/2019,Jul-19,0.042,0.037,42,Michigan’s seasonally adjusted unemployment rate increased slightly to 4.3 percent in July. The jobless rate is 0.3 percentage points higher than the rate marked in July 2018.
08/2019,Aug-19,0.042,0.037,41,Michigan’s seasonally adjusted unemployment rate decreased slightly to 4.2 percent in August. The jobless rate is 0.3 percentage points higher than the rate marked in August 2018.
09/2019,Sep-19,0.041,0.035,41,Michigan’s seasonally adjusted unemployment rate held steady at 4.2 percent in September. The jobless rate is 0.3 percentage points higher than the rate marked in September 2018.
10/2019,Oct-19,0.04,0.036,41,Michigan’s seasonally adjusted unemployment rate inched down to 4.1 percent in October. The jobless rate is 0.1 percentage points higher than the rate marked in October 2018.
11/2019,Nov-19,0.039,0.036,,Michigan’s seasonally adjusted unemployment rate inched down to 4.0 percent in November. The jobless rate is unchanged from the rate marked in November 2018.
12/2019,Dec-19,0.038,0.036,37,Michigan’s seasonally adjusted unemployment rate inched down to 3.9 percent in December. The jobless rate is 0.1 percentage points less than the rate marked in December 2018.
01/2020,Jan-20,0.038,0.035,36,Michigan’s seasonally adjusted unemployment rate inched down to 3.8 percent in January. The jobless rate is 0.4 percentage points less than the rate marked in January 2019.
02/2020,Feb-20,0.038,0.035,32,Michigan’s seasonally adjusted unemployment rate inched down to 3.6 percent in February. The jobless rate is 0.6 percentage points less than the rate marked in February 2019.
03/2020,Mar-20,0.038,0.044,26,Michigan’s seasonally adjusted unemployment rate increased to 4.4 percent in March. The jobless rate is 0.2 percentage points less than the rate marked in March 2019.
04/2020,Apr-20,0.227,0.147,49,"Michigan’s seasonally adjusted unemployment rate increased to 22.7 percent in April, the highest rate since at least 1976 (as far back as comparable estimates go). The jobless rate is 18.4 percentage points greater than the rate marked in April 2019."
05/2020,May-20,0.192,0.132,48,Michigan’s seasonally adjusted unemployment rate decreased to 21.2 percent in May. The jobless rate is 17 percentage points greater than the rate marked in May 2019.
06/2020,Jun-20,0.146,0.11,45,Michigan’s seasonally adjusted unemployment rate decreased to 14.8 percent in June. The jobless rate is 10.6 percentage points greater than the rate marked in June 2019.
07/2020,Jul-20,0.126,0.102,27,Michigan’s seasonally adjusted unemployment rate decreased to 8.7 percent in July. The jobless rate is 4.6 percentage points greater than the rate marked in July 2019.
08/2020,Aug-20,0.099,0.084,37,Michigan’s seasonally adjusted unemployment rate held steady at 8.7 percent in August. The jobless rate is 4.7 percentage points greater than the rate marked in August 2019.
09/2020,Sep-20,0.087,0.079,41,Michigan’s seasonally adjusted unemployment rate held dipped to 8.5 percent in September. The jobless rate is 4.6 percentage points greater than the rate marked in September 2019.
10/2020,Oct-20,0.075,0.069,17,Michigan’s seasonally adjusted unemployment rate held dipped to 5.5 percent in October. The jobless rate is 1.6 percentage points greater than the rate marked in October 2019.
11/2020,Nov-20,0.071,0.067,37,Michigan’s seasonally adjusted unemployment rate held increased to 6.9 percent in November. The jobless rate is 3.0 percentage points greater than the rate marked in November 2019.
12/2020,Dec-20,0.07,0.067,39,Michigan’s seasonally adjusted unemployment rate held increased to 7.5 percent in December. The jobless rate is 3.6 percentage points greater than the rate marked in December 2019.
01/2021,Jan-21,0.064,0.063,27,Michigan’s seasonally adjusted unemployment rate held decreased to 5.7 percent in January. The jobless rate is 2.0 percentage points greater than the rate marked in January 2020.
02/2021,Feb-21,0.063,0.062,23,Michigan’s seasonally adjusted unemployment rate held decreased to 5.2 percent in February. The jobless rate is 1.5 percentage points greater than the rate marked in February 2020.
03/2021,Mar-21,0.062,0.061,24,Michigan’s seasonally adjusted unemployment rate  decreased to 5.1 percent in March. The jobless rate is 1.4 percentage points greater than the rate marked in March 2020.
04/2021,Apr-21,0.062,0.061,24,Michigan’s seasonally adjusted unemployment rate  decreased to 4.9 percent in April. The jobless rate is 18.7 percentage points greater than the rate marked in April 2020.
05/2021,May-21,0.062,0.058,25,Michigan’s seasonally adjusted unemployment rate  increased to 5 percent in May. The jobless rate is 15.8 percentage points less than the rate marked in May 2020.
